property_tax_id,id,2018.total,2019.total,2022.total,2017.total,2021.total,2013.total,2014.total,2015.total,2016.total,2020.total,2023.total
146,"6906-Moon-Lake-Dr,-San-Antonio,-TX-78244",,2772.0,3858.0,,3241.0,,,,,,4026.0
147,"5507-Roanwood,-San-Antonio,-TX-78244",,3754.0,4150.0,,3827.0,,,,,,4154.0
148,"6907-Indian-Lake-Dr,-San-Antonio,-TX-78244",,2778.0,3134.0,,3169.0,,,,,,2535.0
149,"6914-Indian-Lake-Dr,-San-Antonio,-TX-78244",,,,,,,,,,,
150,"6918-Moon-Lake-Dr,-San-Antonio,-TX-78244",,909.0,1027.0,,1013.0,,,,,,729.0
151,"6902-Indian-Lake-Dr,-San-Antonio,-TX-78244",,3061.0,3478.0,,3502.0,,,,,,2873.0
152,"6835-Indian-Lake-Dr,-San-Antonio,-TX-78244",,1260.0,1353.0,,1349.0,,,,,,789.0
153,"6914-Moon-Lake-Dr,-San-Antonio,-TX-78244",,2584.0,2906.0,,2951.0,,,,,,2309.0
154,"5515-Lochmoor,-Apt-1,-San-Antonio,-TX-78244",,,,,,,,,,,
155,"6911-Indian-Lake-Dr,-San-Antonio,-TX-78244",,2165.0,2279.0,,2266.0,,,,,,1084.0
156,"7026-Atherton,-San-Antonio,-TX-78244",,3416.0,3974.0,,3827.0,,,,,,3778.0
157,"6910-Indian-Lake-Dr,-San-Antonio,-TX-78244",,3102.0,2399.0,,2418.0,,,,,,1219.0
158,"5505-Roanwood,-San-Antonio,-TX-78244",,,,,,,,,,,
159,"7023-Atherton,-San-Antonio,-TX-78244",,2878.0,3968.0,,3285.0,,,,,,4019.0
160,"5518-Lochmoor,-San-Antonio,-TX-78244",,3598.0,4277.0,,4100.0,,,,,,4164.0
161,"6926-Moon-Lake-Dr,-San-Antonio,-TX-78244",,3202.0,3223.0,,3245.0,,,,,,4404.0
162,"5603-Lochmoor,-San-Antonio,-TX-78244",,652.0,1031.0,,961.0,,,,,,1124.0
163,"5530-Lochmoor,-San-Antonio,-TX-78244",,3546.0,4222.0,,4058.0,,,,,,4113.0
164,"6826-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2547.0,3026.0,,2804.0,,,,,,3394.0
165,"5532-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
