tax_ass_id,id,2019.value,2019.improvements,2022.value,2022.improvements,2023.value,2023.improvements,2019.land,2020.value,2020.land,2020.improvements,2022.land,2023.land,2018.value,2018.land,2018.improvements,2021.value,2021.land,2021.improvements,2013.value,2013.land,2013.improvements,2014.value,2014.land,2014.improvements,2015.value,2015.land,2015.improvements,2016.value,2016.land,2016.improvements,2017.value,2017.land,2017.improvements,0.date
81,"7018-Atherton,-San-Antonio,-TX-78244",170840.0,143160.0,216190.0,169430.0,230750.0,174680.0,27680.0,176640.0,27680.0,148960.0,46760.0,56070.0,144010.0,27680.0,116330.0,203130.0,42460.0,160670.0,,,,,,,,,,,,,,,,
82,"7022-Atherton,-San-Antonio,-TX-78244",154000.0,125900.0,191500.0,144080.0,218660.0,161830.0,28100.0,160000.0,28100.0,131900.0,47420.0,56830.0,133000.0,28100.0,104900.0,180000.0,43150.0,136850.0,,,,,,,,,,,,,,,,
83,"5524-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"6919-Indian-Lake-Dr,-San-Antonio,-TX-78244",151800.0,129570.0,211090.0,166110.0,239570.0,185630.0,22230.0,160110.0,22230.0,137880.0,44980.0,53940.0,143060.0,17790.0,125270.0,177320.0,40900.0,136420.0,,,,,,,,,,,,,,,,
85,"6922-Moon-Lake-Dr,-San-Antonio,-TX-78244",141389.0,119900.0,200610.0,154700.0,227870.0,172830.0,22360.0,149950.0,22360.0,127590.0,45910.0,55040.0,128535.0,17900.0,115930.0,164945.0,41670.0,126210.0,,,,,,,,,,,,,,,,
86,"6826-Still-Lk,-San-Antonio,-TX-78244",152440.0,130930.0,209540.0,168240.0,237660.0,188130.0,21510.0,160830.0,21510.0,139320.0,41300.0,49530.0,143700.0,17200.0,126500.0,175490.0,37570.0,137920.0,,,,,,,,,,,,,,,,
87,"6827-Still-Lk,-San-Antonio,-TX-78244",152090.0,130390.0,193480.0,151040.0,219630.0,168740.0,21700.0,160450.0,21700.0,138750.0,42440.0,50890.0,135347.0,17360.0,126070.0,175780.0,38540.0,137240.0,,,,,,,,,,,,,,,,
88,"6823-Still-Lk,-San-Antonio,-TX-78244",168000.0,146300.0,205460.0,163020.0,233040.0,182150.0,21700.0,177220.0,21700.0,155520.0,42440.0,50890.0,159030.0,17360.0,141670.0,,,,,,,,,,,,,,,,,,,
89,"6819-Still-Lk,-San-Antonio,-TX-78244",141960.0,120260.0,196040.0,153600.0,222710.0,171820.0,21700.0,149670.0,21700.0,127970.0,42440.0,50890.0,133520.0,17360.0,116160.0,165210.0,38540.0,126670.0,,,,,,,,,,,,,116510.0,17360.0,99150.0,
90,"6822-Still-Lk,-San-Antonio,-TX-78244",154693.0,137780.0,219260.0,177460.0,248650.0,198540.0,21580.0,168190.0,21580.0,146610.0,41800.0,50110.0,140630.0,17260.0,133060.0,,,,,,,,,,,,,,,,,,,
