features_id,id,floorCount,architectureType,exteriorType,foundationType,roofType,fireplace,unitCount,garage,garageSpaces,garageType,cooling,coolingType,heating,heatingType,roomCount,pool,fireplaceType,poolType,squareFootage,bedrooms,bathrooms
199,"5503-Grand-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,1.0,True,,Garage,True,Central,True,Forced Air,5.0,,,,1847.0,3.0,2.0
200,"5314-Shadow-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Stucco,Slab / Mat / Raft,Asphalt,,1.0,True,1.0,Attached,True,Central,True,Forced Air,5.0,,,,1026.0,3.0,2.0
201,"5322-Lake,-Golden,-San-Antonio,-TX-78244",1.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,5.0,,,,1424.0,3.0,2.0
202,"5516-Grand-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Roll Tar & Gravel,,1.0,True,2.0,Attached,True,Central,True,Forced Air,5.0,,,,1469.0,3.0,2.0
203,"5418-Lake-Grove-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,1.0,True,1.0,Attached,True,Central,True,Forced Air,5.0,,,,1162.0,3.0,1.0
204,"5407-Shadow-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,,1.0,,,,True,Central,True,Forced Air,5.0,,,,1513.0,3.0,2.0
205,"5403-Shadow-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Asbestos Shingle,Slab / Mat / Raft,Asphalt,True,1.0,,,,True,Central,True,Forced Air,6.0,,,,1436.0,4.0,1.5
206,"5406-Shadow-Lake-Dr,-San-Antonio,-TX-78244",1.0,Contemporary,Stucco,Slab / Mat / Raft,Asphalt,,1.0,True,1.0,Attached,True,Central,True,Forced Air,5.0,,,,1036.0,4.0,1.5
207,"5625-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,
208,"6914-Quail-Lk,-San-Antonio,-TX-78244",2.0,Contemporary,Wood,Slab / Mat / Raft,Asphalt,True,1.0,True,2.0,Attached,True,Central,True,Forced Air,6.0,,,,1459.0,4.0,2.0
209,"5607-Lochmoor,-San-Antonio,-TX-78244",1.0,Contemporary,Combination,Slab / Mat / Raft,Asphalt,True,2.0,,,,True,Central,True,Forced Air,8.0,,,,3202.0,8.0,4.0
210,"5607-Lochmoor,---1,-San-Antonio,-TX-78244",,,,,,,,,,,,,,,,,,,,,
211,"325-Sw-Trafalgar-Pkwy,-Cape-Coral,-FL-33991",1.0,Ranch,Stucco,,Asphalt,,,True,,Garage,True,Central,True,Forced Air,,,,,1272.0,3.0,2.0
212,"6636-W-William-Cannon-Dr,-Austin,-TX-78735",,,,,,,,,,,,,,,,,,,,,
213,"13529-Coleto-Creek-Trl,-Austin,-TX-78732",2.0,,,Slab / Mat / Raft,Composition Shingle,True,1.0,True,,Attached,True,Commercial,True,Central,,True,,Pool and Hot Tub / Spa,6040.0,6.0,5.0
214,"7011-W-Parmer-Ln,-Austin,-TX-78729",,,,,,,,,,,,,,,,,,,,,
215,"7001-S-Congress-Ave,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,,,
216,"8109-Wolf-Jaw-Cv,-Austin,-TX-78729",2.0,,Wood,Slab / Mat / Raft,,True,1.0,True,2.0,Garage,True,Central,True,Central,,,,,1896.0,4.0,2.0
217,"5200-N-Lamar-Blvd,-Austin,-TX-78751",,,,,,,,,,,,,,,,,,,505.0,1.0,1.0
218,"1301-W-5th-St,-Austin,-TX-78703",,,,,,,,,,,,,,,,,,,735.0,1.0,1.0
219,"5120-Mansfield-View-Ct,-Austin,-TX-78732",2.0,,,Slab / Mat / Raft,Tile,True,1.0,True,2.0,Mixed,True,Commercial,True,Central,,True,,Pool and Hot Tub / Spa,5237.0,4.0,4.0
220,"1044-Camino-Ln,-Costa,-Austin,-TX-78752",,,,,,,,,,,,,,,,,,,,,
221,"12300-Riata-Trace-Pkwy,-Austin,-TX-78727",,,,,,,,,,,,,,,,,,,,,
222,"4913-Wing-Rd,-Austin,-TX-78749",1.0,,,Slab / Mat / Raft,Composition Shingle,True,1.0,True,1.0,Attached,True,Commercial,True,Central,,,,,1617.0,4.0,2.0
223,"924-Cavalry-Ride-Trl,-Austin,-TX-78732",2.0,,,Slab / Mat / Raft,Composition Shingle,True,1.0,True,2.0,Attached,True,Commercial,True,Central,,,,,2860.0,4.0,3.0
224,"2401-Manor-Rd,-Apt-209,-Austin,-TX-78722",1.0,Condo / Apartment,,,,,,,,,,,,,,,,,820.0,2.0,1.0
225,"800-W-38th-St,-Austin,-TX-78705",,,,,,,,,,,,,,,,,,,,2.0,2.0
226,"2426-E-6th-St,-Unit-242,-Austin,-TX-78702",,,,,,,,,,,,,,,,,,,1210.0,2.0,2.0
227,"4811-Burnet-Rd,-Austin,-TX-78756",1.0,Multi-Unit Building,,Slab / Mat / Raft,Built-up (Layered Asphalt),,1.0,True,76.0,Parking Structure,,,,,,,,,42175.0,,1.0
